time/total timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
578000,104,11560,50.0,5521,-60.205910089999996,0.0001,10.13768666267395,573800,25.091261310577394
578500,104,11570,50.0,5526,-58.38976877,0.0001,10.41934505701065,574400,25.141885623931884
579000,104,11580,50.0,5530,-56.826048289999996,0.0001,10.254380209445953,574800,25.14536819458008
579500,104,11590,50.0,5537,-58.342955069999995,0.0001,10.421460905075072,575400,25.1681937789917
580000,104,11600,50.0,5541,-59.3341533,0.0001,10.213058443069459,575800,25.116750469207762
580500,104,11610,50.0,5549,-60.05487988,0.0001,10.069407308101654,576400,25.10868106842041
581000,104,11620,50.0,5553,-61.66992719000001,0.0001,10.242585124969482,576800,25.14957082748413
581500,104,11630,50.0,5560,-60.597095660000015,0.0001,10.405071573257446,577400,25.154746017456056
582000,104,11640,50.0,5565,-63.00457051999999,0.0001,10.19312088727951,577800,25.066949634552003
582500,104,11650,50.0,5571,-64.23931674999999,0.0001,10.228320906162262,578400,25.1037797164917
583000,104,11660,50.0,5576,-62.20411720000001,0.0001,10.210567376613618,578800,25.2232173538208
583500,104,11670,50.0,5582,-62.00854955999999,0.0001,10.407398717403412,579400,25.14375591278076
584000,104,11680,50.0,5586,-62.632636610000006,0.0001,10.390549011230469,579800,25.17287992477417
584500,104,11690,50.0,5592,-63.384489129999984,0.0001,10.329765779972076,580400,25.00064567565918
585000,104,11700,50.0,5597,-62.019490260000005,0.0001,10.458234474658965,580800,25.047330112457274
585500,104,11710,50.0,5604,-61.81999296999999,0.0001,10.287721662521362,581400,25.086868362426756
586000,104,11720,50.0,5608,-60.453663240000004,0.0001,10.395041399002075,581800,25.19206069946289
586500,104,11730,50.0,5614,-61.00623569999999,0.0001,10.34970867395401,582400,25.185543766021727
587000,104,11740,50.0,5619,-60.46908221000002,0.0001,10.218843362331391,582800,25.149323539733885
587500,104,11750,50.0,5624,-60.24887383,0.0001,10.320413229465485,583400,25.189442653656005
588000,104,11760,50.0,5629,-62.42937435000001,0.0001,10.434258425235749,583800,25.110329627990723
588500,104,11770,50.0,5635,-62.41732132999999,0.0001,10.595492107868195,584400,25.090262794494627
589000,104,11780,50.0,5639,-64.14063250999999,0.0001,10.336142072677612,584800,25.160768108367918
589500,104,11790,50.0,5646,-63.09977691,0.0001,10.4745046043396,585400,25.095834465026854
590000,104,11800,50.0,5650,-64.83587367000001,0.0001,10.230224597454072,585800,25.07701728820801
590500,104,11810,50.0,5657,-66.76328146,0.0001,10.30743417263031,586400,25.10737077713013
591000,104,11820,50.0,5662,-68.52679764999999,0.0001,10.370778317451476,586800,25.148365249633787
591500,104,11830,50.0,5667,-67.10673631,0.0001,10.368500373363496,587400,25.03212089538574
592000,104,11840,50.0,5672,-67.07106931999999,0.0001,10.177029821872711,587800,25.05094841003418
592500,104,11850,50.0,5679,-66.14624696000001,0.0001,10.161778316497802,588400,25.103301181793213
593000,104,11860,50.0,5683,-64.88174409000001,0.0001,10.249242310523988,588800,25.063684349060058
593500,104,11870,50.0,5689,-65.44768958,0.0001,10.372783722877502,589400,25.1318967628479
594000,104,11880,50.0,5693,-67.06385539000001,0.0001,10.312774472236633,589800,25.006700229644775
594500,104,11890,50.0,5698,-66.46277016,0.0001,10.26431565284729,590400,25.112900981903078
595000,104,11900,50.0,5703,-66.92212986999999,0.0001,10.20617885351181,590800,25.0774312210083
595500,104,11910,50.0,5709,-64.52578122,0.0001,10.041907691955567,591400,24.984522705078124
596000,104,11920,50.0,5713,-63.92020880999999,0.0001,10.25601850271225,591800,25.08125654220581
596500,104,11930,50.0,5719,-63.519639259999984,0.0001,10.254590647220612,592400,24.925222187042237
597000,104,11940,50.0,5723,-63.486240609999996,0.0001,10.30562040567398,592800,25.0130712890625
597500,104,11950,50.0,5729,-63.193543389999995,0.0001,10.280806255340575,593400,24.983741207122804
598000,104,11960,50.0,5733,-63.84564332000001,0.0001,10.214832899570466,593800,25.03979024887085
598500,104,11970,50.0,5741,-64.57723646000001,0.0001,10.194329562187194,594400,25.092577686309813
599000,104,11980,50.0,5745,-62.00166690000001,0.0001,10.250575282573699,594800,25.02934700012207
599500,104,11990,50.0,5752,-62.06953326000001,0.0001,10.182677025794982,595400,25.029891052246093
600000,104,12000,50.0,5756,-63.36606529999999,0.0001,10.359261078834534,595800,25.065322036743165
600500,104,12010,50.0,5763,-64.82398108,0.0001,10.222241621017456,596400,25.088008728027344
601000,104,12020,50.0,5767,-65.69218414,0.0001,10.306819686889648,596800,25.019939136505126
601500,104,12030,50.0,5773,-66.50251322999999,0.0001,10.253803129196166,597400,25.071427307128907
602000,104,12040,50.0,5777,-69.34641667,0.0001,10.233530991077423,597800,24.970069065093995
602500,104,12050,50.0,5783,-69.14203943000001,0.0001,10.140923917293549,598400,25.02734218597412
603000,104,12060,50.0,5787,-69.12093666999999,0.0001,10.127666728496552,598800,25.045453433990478
603500,104,12070,50.0,5794,-68.29896172000001,0.0001,10.284166810512543,599400,24.94280372619629
604000,104,12080,50.0,5798,-68.50666930999999,0.0001,10.16507839679718,599800,25.009845027923586
604500,104,12090,50.0,5804,-69.11067754,0.0001,10.317890563011169,600400,25.00011957168579
605000,104,12100,50.0,5808,-66.17971357999998,0.0001,10.411638286113739,600800,24.95282503128052
605500,104,12110,50.0,5814,-67.18111893999999,0.0001,10.423686466217042,601400,25.0685205078125
606000,104,12120,50.0,5818,-67.00879995,0.0001,10.480857105255128,601800,24.964300270080567
606500,104,12130,50.0,5825,-66.66962463,0.0001,10.477867393493652,602400,24.931194458007813
607000,104,12140,50.0,5830,-64.45270908,0.0001,10.310640664100648,602800,24.87691698074341
607500,104,12150,50.0,5836,-65.25901489,0.0001,10.21159809589386,603400,24.951521224975586
608000,104,12160,50.0,5839,-65.25556486,0.0001,10.290194573402404,603800,24.838029918670653
608500,104,12170,50.0,5845,-64.98394054,0.0001,10.423383252620697,604400,25.0118350982666
609000,104,12180,50.0,5849,-63.95988819000001,0.0001,10.207687516212463,604800,24.883121128082276
609500,104,12190,50.0,5855,-63.74582781000001,0.0001,10.17339021205902,605400,24.872577514648437
610000,104,12200,50.0,5861,-65.10246685000001,0.0001,10.42860667705536,605800,24.87186756134033
610500,104,12210,50.0,5867,-63.481945589999995,0.0001,10.309662284851074,606400,24.985617122650147
611000,104,12220,50.0,5872,-62.28509683999999,0.0001,10.076912431716918,606800,24.923257255554198
611500,104,12230,50.0,5878,-63.2751877,0.0001,10.107421586513519,607400,24.987207984924318
612000,104,12240,50.0,5882,-61.066359940000005,0.0001,10.322469823360443,607800,24.925861740112303
612500,104,12250,50.0,5889,-59.902717190000004,0.0001,10.412865800857544,608400,24.963424434661864
613000,104,12260,50.0,5893,-59.84559781,0.0001,10.488763935565949,608800,24.90215570449829
613500,103,12270,50.0,5900,-60.527601950000005,0.0001,10.005337960720063,609400,24.86288164138794
614000,103,12280,50.0,5904,-60.88931004,0.0001,10.242884964942933,609800,24.851535110473634
614500,103,12290,50.0,5911,-60.46909687999999,0.0001,10.119952490329743,610400,24.857418327331544
615000,103,12300,50.0,5915,-59.409973220000005,0.0001,10.152748436927796,610800,24.97079584121704
615500,103,12310,50.0,5922,-59.091914270000004,0.0001,10.15730115890503,611400,24.999370803833006
616000,103,12320,50.0,5926,-59.22754723,0.0001,10.161590983867645,611800,24.921013927459718
